scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count
Mudah,0,Brute Force,1,53.54685880776307,69.49560000066413,12721,1.0103180907125109,0,3,67.08839999919292,72.32650000150898,60,40,5
Mudah,0,UCS,1,55.48528137423857,186.92449999798555,2059,1.0468921014007277,0,3,173.38030000246363,233.5879999991448,60,40,5
Mudah,0,GBFS,1,58.55634918610404,4.964499999914551,56,1.1048367770963028,0,3,4.34549999772571,6.7037000007985625,60,40,5
Mudah,0,A*,1,55.48528137423857,27.13439999934053,345,1.0468921014007277,0,3,25.503100001515122,31.13619999930961,60,40,5
Mudah,0,RRT*,1,57.75650595493708,151.71490000284393,617,1.0897453953761713,0,3,138.91069999954198,171.00609999761218,60,40,5
Mudah,1,Brute Force,1,53.32463859657536,126.23700000040117,12721,1.0061252565391579,0,3,88.74759999889648,163.22759999820846,60,40,5
Mudah,1,UCS,1,55.48528137423857,253.02400000146008,2069,1.0468921014007277,0,3,249.07460000031278,333.30560000104015,60,40,5
Mudah,1,GBFS,1,55.48528137423857,6.37529999949038,55,1.0468921014007277,0,3,4.639099999621976,8.084699999017175,60,40,5
Mudah,1,A*,1,55.48528137423857,91.9296000029135,351,1.0468921014007277,0,3,61.524099997768644,99.65079999892623,60,40,5
Mudah,1,RRT*,1,55.93807051631117,315.168299999641,615,1.0554352927605881,0,3,307.49899999864283,362.20569999932195,60,40,5
Mudah,2,Brute Force,1,53.11601534254613,143.602699998155,12721,1.0021889687272854,0,3,110.94719999891822,169.13080000085756,60,40,5
Mudah,2,UCS,1,53.82842712474619,264.83090000328957,2009,1.0156307004669092,0,3,240.96329999883892,312.2180999998818,60,40,5
Mudah,2,GBFS,1,53.82842712474619,6.478700001025572,54,1.0156307004669092,0,3,5.529600002773805,6.639499999437248,60,40,5
Mudah,2,A*,1,53.82842712474619,9.646200000133831,92,1.0156307004669092,0,3,9.231599997292506,10.922100002062507,60,40,5
Mudah,2,RRT*,1,55.64784088629276,378.1522000026598,616,1.0499592620055238,0,3,284.9456000003556,390.0992999988375,60,40,5
Mudah,3,Brute Force,1,53.18766615682537,179.63270000109333,12721,1.0035408708834976,0,3,166.2705000017013,230.55530000056024,60,40,5
Mudah,3,UCS,1,54.65685424949238,342.91839999787044,2046,1.0312614009338186,0,3,294.7271000011824,346.38079999785987,60,40,5
Mudah,3,GBFS,1,54.65685424949238,14.152799998555565,54,1.0312614009338186,0,3,8.676600002218038,15.83540000137873,60,40,5
Mudah,3,A*,1,54.65685424949238,37.18940000180737,281,1.0312614009338186,0,3,24.333500001375796,43.4702999991714,60,40,5
Mudah,3,RRT*,1,59.74594105814587,313.02550000327756,622,1.127281906757469,0,3,253.13889999961248,388.1547999990289,60,40,5
Mudah,4,Brute Force,1,53.52392018080073,108.83730000205105,12721,1.0098852864302024,0,3,104.5899000018835,133.29220000014175,60,40,5
Mudah,4,UCS,1,54.65685424949238,346.0038000011991,2022,1.0312614009338186,0,3,320.61719999910565,364.1769000023487,60,40,5
Mudah,4,GBFS,1,54.65685424949238,8.256700002675643,54,1.0312614009338186,0,3,6.037700000888435,8.464700000331504,60,40,5
Mudah,4,A*,1,54.65685424949238,38.71389999767416,162,1.0312614009338186,0,3,26.37979999781237,39.5384000003105,60,40,5
Mudah,4,RRT*,1,57.17910128266447,240.9527000017988,615,1.0788509675974427,0,3,240.5642000012449,304.4761999990442,60,40,5
Mudah,5,Brute Force,1,54.25022695103472,132.44869999834918,12721,1.023589187755372,0,3,96.87189999749535,145.18380000299658,60,40,5
Mudah,5,UCS,1,56.31370849898476,347.0603999994637,2080,1.062522801867637,0,3,339.27369999946677,366.04390000138665,60,40,5
Mudah,5,GBFS,1,56.31370849898476,6.127900000137743,54,1.062522801867637,0,3,5.803799998830073,6.7559000017354265,60,40,5
Mudah,5,A*,1,56.31370849898476,72.29999999981374,474,1.062522801867637,0,3,61.29510000027949,77.75570000012522,60,40,5
Mudah,5,RRT*,1,58.640879468639426,310.9394999992219,612,1.1064316880875364,0,3,304.1434999977355,377.4236999997811,60,40,5
Mudah,6,Brute Force,1,53.0,135.26370000181487,12721,1.0,0,3,132.81470000219997,150.9258999976737,60,40,5
Mudah,6,UCS,1,53.0,335.1299000023573,1997,1.0,0,3,275.5241999984719,389.4725999998627,60,40,5
Mudah,6,GBFS,1,53.0,7.768700001179241,54,1.0,0,3,6.401499998901272,10.054899998067413,60,40,5
Mudah,6,A*,1,53.0,10.37480000013602,54,1.0,0,3,4.662600000301609,15.446299999894109,60,40,5
Mudah,6,RRT*,1,56.80070324128191,301.0985000000801,613,1.0717113819109794,0,3,282.23390000130166,350.05310000269674,60,40,5
Mudah,7,Brute Force,1,53.27661398722009,143.23030000014114,12721,1.0052191318343413,0,3,119.4681999986642,144.79859999846667,60,40,5
Mudah,7,UCS,1,54.65685424949238,252.25130000035278,2019,1.0312614009338186,0,3,243.76699999993434,329.4836999994004,60,40,5
Mudah,7,GBFS,1,54.65685424949238,16.436599998996826,54,1.0312614009338186,0,3,4.479299997910857,17.025299999659183,60,40,5
Mudah,7,A*,1,54.65685424949238,34.17699999772594,187,1.0312614009338186,0,3,32.95169999910286,37.56020000218996,60,40,5
Mudah,7,RRT*,1,56.680198757375756,326.47240000005695,623,1.069437712403316,0,3,298.47170000357437,356.54799999974784,60,40,5
Mudah,8,Brute Force,1,53.33899550681336,158.83560000293073,12721,1.0063961416379879,0,3,140.16350000019884,162.9706999992777,60,40,5
Mudah,8,UCS,1,55.48528137423857,310.0652000030095,2054,1.0468921014007277,0,3,242.5349000004644,312.42399999973713,60,40,5
Mudah,8,GBFS,1,57.97056274847714,6.355099998472724,56,1.0937842028014555,0,3,4.73730000157957,7.394899999781046,60,40,5
Mudah,8,A*,1,55.48528137423857,42.07400000086636,308,1.0468921014007277,0,3,41.83750000083819,45.96769999989192,60,40,5
Mudah,8,RRT*,1,59.17090334444205,320.4993999970611,595,1.1164321385743783,0,3,310.1028999990376,401.4363999995112,60,40,5
Mudah,9,Brute Force,1,53.08433723688073,173.57489999994868,12721,1.0015912686203912,0,3,139.90729999932228,188.60879999920144,60,40,5
Mudah,9,UCS,1,53.82842712474619,364.36200000025565,2007,1.0156307004669092,0,3,267.3019000030763,401.4153999996779,60,40,5
Mudah,9,GBFS,1,53.82842712474619,6.528300000354648,54,1.0156307004669092,0,3,5.783100001281127,6.842500002676388,60,40,5
Mudah,9,A*,1,53.82842712474619,16.600899998593377,127,1.0156307004669092,0,3,14.298099998995895,17.694999998639105,60,40,5
Mudah,9,RRT*,1,55.93381419092654,366.49519999991753,623,1.055354984734463,0,3,282.3649999991176,372.42350000087754,60,40,5
Sedang,0,Brute Force,1,53.06860366396105,188.7823999968532,12721,1.0012944087539821,0,3,144.90800000203308,189.8403999985021,60,40,12
Sedang,0,UCS,1,53.82842712474619,499.1950000003271,1820,1.0156307004669092,0,3,388.4881000012683,648.111800001061,60,40,12
Sedang,0,GBFS,1,53.82842712474619,9.862399998382898,54,1.0156307004669092,0,3,8.109099999273894,10.70360000085202,60,40,12
Sedang,0,A*,1,53.82842712474619,32.78839999984484,132,1.0156307004669092,0,3,23.84420000089449,40.17279999970924,60,40,12
Sedang,0,RRT*,1,55.00540764792015,515.213999999105,595,1.0378378801494368,0,3,488.95809999885387,540.0833000021521,60,40,12
Sedang,1,Brute Force,1,53.27373982324623,227.1787999998196,12721,1.0051649023254006,0,3,196.12379999671248,259.44540000273264,60,40,12
Sedang,1,UCS,1,54.65685424949238,534.6797999991395,1811,1.0312614009338186,0,3,382.4544999988575,658.4150999988196,60,40,12
Sedang,1,GBFS,1,54.65685424949238,14.89669999864418,54,1.0312614009338186,0,3,13.063999998848885,19.308300001284806,60,40,12
Sedang,1,A*,1,54.65685424949238,74.18999999936204,287,1.0312614009338186,0,3,69.843099998252,78.19069999823114,60,40,12
Sedang,1,RRT*,1,55.52248044608245,435.59190000087256,561,1.0475939706808008,0,3,433.42009999832953,513.2268000015756,60,40,12
Sedang,2,Brute Force,0,nan,114.24149999947986,12721,nan,0,3,113.80799999824376,119.55700000180514,60,40,12
Sedang,2,UCS,1,56.31370849898476,543.5083000011218,1888,1.062522801867637,0,3,541.9905999988259,629.2103000014322,60,40,12
Sedang,2,GBFS,1,61.04163056034262,19.1134000015154,58,1.1517288784970305,0,3,12.584299998707138,29.554900000221096,60,40,12
Sedang,2,A*,1,56.31370849898476,184.88580000121146,469,1.062522801867637,0,3,156.015299999126,190.24370000261115,60,40,12
Sedang,2,RRT*,1,60.40905889407791,414.21009999976377,566,1.1397935640392058,0,3,352.25509999872884,435.3749000001699,60,40,12
Sedang,3,Brute Force,1,53.0,274.0071000007447,12721,1.0,0,3,266.7433000024175,280.13559999817517,60,40,12
Sedang,3,UCS,1,53.0,504.3939999995928,1795,1.0,0,3,401.4485000006971,662.1993999979168,60,40,12
Sedang,3,GBFS,1,53.0,9.106599998631282,54,1.0,0,3,8.91810000030091,11.11539999692468,60,40,12
Sedang,3,A*,1,53.0,9.333199999673525,54,1.0,0,3,8.54359999721055,10.487100000318605,60,40,12
Sedang,3,RRT*,1,56.075032321125036,625.3262999998697,566,1.0580194777570762,0,3,603.8898000006157,635.3443000007246,60,40,12
Sedang,4,Brute Force,1,53.31374990932342,177.55599999873084,12721,1.0059198096098758,0,3,135.78009999764618,192.12309999784338,60,40,12
Sedang,4,UCS,1,54.65685424949238,599.6443000003637,1827,1.0312614009338186,0,3,457.21360000243294,604.9267999987933,60,40,12
Sedang,4,GBFS,1,54.65685424949238,17.6166999990528,54,1.0312614009338186,0,3,9.298599998146528,19.26640000237967,60,40,12
Sedang,4,A*,1,54.65685424949238,49.17609999756678,191,1.0312614009338186,0,3,45.92240000056336,96.14419999707025,60,40,12
Sedang,4,RRT*,1,54.68456119095133,419.9031999996805,576,1.031784173414176,0,3,385.01610000093933,504.3513999989955,60,40,12
Sedang,5,Brute Force,1,53.9351462406472,109.5597000021371,12721,1.0176442686914566,0,3,104.66810000070836,131.0046999969927,60,40,12
Sedang,5,UCS,1,55.48528137423857,654.2098999998416,1852,1.0468921014007277,0,3,513.4579999976268,739.1047999990406,60,40,12
Sedang,5,GBFS,1,55.48528137423857,15.205800002149772,54,1.0468921014007277,0,3,14.380400003574323,15.56229999914649,60,40,12
Sedang,5,A*,1,55.48528137423857,78.0343999977049,298,1.0468921014007277,0,3,56.999200001882855,128.59709999975166,60,40,12
Sedang,5,RRT*,1,59.154019420849984,502.6746000003186,566,1.1161135739783017,0,3,346.08289999960107,517.0152999999118,60,40,12
Sedang,6,Brute Force,1,56.69180447373576,224.05049999724724,12721,1.0696566881836935,0,3,185.960899998463,233.34479999903124,60,40,12
Sedang,6,UCS,1,55.48528137423857,487.11829999956535,1878,1.0468921014007277,0,3,382.96169999739504,600.5138000000443,60,40,12
Sedang,6,GBFS,1,55.48528137423857,13.379399999394082,54,1.0468921014007277,0,3,11.303300001600292,14.493700000457466,60,40,12
Sedang,6,A*,1,55.48528137423857,110.49270000148681,304,1.0468921014007277,0,3,70.14479999998002,125.59069999770145,60,40,12
Sedang,6,RRT*,1,56.01522212330176,540.8242999983486,578,1.0568909834585238,0,3,509.23230000262265,587.3329999994894,60,40,12
Sedang,7,Brute Force,1,53.9351462406472,142.40689999860479,12721,1.0176442686914566,0,3,132.08419999864418,155.86139999868465,60,40,12
Sedang,7,UCS,1,56.31370849898476,586.643800001184,1777,1.062522801867637,0,3,442.618199998833,614.5472999996855,60,40,12
Sedang,7,GBFS,1,56.89949493661167,14.070900000660913,55,1.0735753761624842,0,3,8.491700002196012,14.639199998782715,60,40,12
Sedang,7,A*,1,56.31370849898476,115.45149999801652,414,1.062522801867637,0,3,101.95150000072317,119.1727000004903,60,40,12
Sedang,7,RRT*,1,56.69468069730791,425.0350000002072,531,1.0697109565529794,0,3,419.53210000065155,494.16000000201166,60,40,12
Sedang,8,Brute Force,1,68.36922395684397,110.04030000185594,12721,1.2899853576763012,0,3,100.8758999996644,137.41250000020955,60,40,12
Sedang,8,UCS,1,57.97056274847714,455.4487000023073,1671,1.0937842028014555,0,3,402.29050000198185,469.8547999978473,60,40,12
Sedang,8,GBFS,1,61.04163056034262,16.650300000037532,64,1.1517288784970305,0,3,14.044399998965673,18.050099999527447,60,40,12
Sedang,8,A*,1,57.97056274847714,168.01010000199312,583,1.0937842028014555,0,3,154.55840000140597,199.54560000041965,60,40,12
Sedang,8,RRT*,1,58.03116730388204,500.98769999749493,570,1.0949276849789065,0,3,438.29180000102497,508.8403000008839,60,40,12
Sedang,9,Brute Force,0,nan,112.90390000067418,12721,nan,0,3,100.02430000167806,120.2255000025616,60,40,12
Sedang,9,UCS,1,56.31370849898476,536.1539000004996,1853,1.062522801867637,0,3,525.254500000301,579.5060000018566,60,40,12
Sedang,9,GBFS,1,57.72792206135786,57.32260000149836,287,1.0892060766293936,0,3,53.32590000034543,58.70770000183256,60,40,12
Sedang,9,A*,1,56.31370849898476,69.2084000002069,339,1.062522801867637,0,3,65.80329999997048,82.51089999976102,60,40,12
Sedang,9,RRT*,1,61.86436324876282,319.5443999975396,483,1.1672521367691098,0,3,262.74259999991045,339.6459000032337,60,40,12
Sulit,0,Brute Force,0,nan,102.04439999870374,12721,nan,0,3,87.7541999980167,111.83520000122371,60,40,10
Sulit,0,UCS,1,68.84062043356595,413.98580000168295,1771,1.298879630821999,0,3,366.92820000098436,475.34169999926235,60,40,10
Sulit,0,GBFS,1,74.94112549695429,13.930599998275284,88,1.4139834999425336,0,3,13.176700002077268,14.547900002071401,60,40,10
Sulit,0,A*,1,68.84062043356595,294.5538999993005,986,1.298879630821999,0,3,196.37890000012703,307.6008999996702,60,40,10
Sulit,0,RRT*,1,89.46542025514971,143.91279999836115,299,1.6880267972669756,0,3,126.5690000000177,150.15350000248873,60,40,10
Sulit,1,Brute Force,0,nan,120.62679999871762,12721,nan,0,3,102.46310000002268,130.34020000122837,60,40,10
Sulit,1,UCS,1,70.25483399593904,410.57179999916116,1837,1.3255629055837554,0,3,363.43679999845335,574.4655000016792,60,40,10
Sulit,1,GBFS,1,74.94112549695429,20.334000000730157,106,1.4139834999425336,0,3,18.18510000157403,30.886100001225714,60,40,10
Sulit,1,A*,1,70.25483399593904,287.6808000000892,1136,1.3255629055837554,0,3,272.28930000273976,325.1562000004924,60,40,10
Sulit,1,RRT*,0,nan,168.95070000100532,264,nan,0,3,126.34460000117542,193.11090000337572,60,40,10
Sulit,2,Brute Force,0,nan,123.75949999841396,12721,nan,0,3,111.33009999684873,195.05349999963073,60,40,10
Sulit,2,UCS,1,69.42640687119285,387.75340000211145,1825,1.3099322051168463,0,3,376.4956000013626,541.6069999992033,60,40,10
Sulit,2,GBFS,1,72.94112549695429,74.36210000014398,278,1.3762476508859298,0,3,67.0006000000285,78.02129999981844,60,40,10
Sulit,2,A*,1,69.42640687119285,324.2652000008093,1128,1.3099322051168463,0,3,284.3007999981637,385.3968999974313,60,40,10
Sulit,2,RRT*,1,85.84645018751118,161.70019999844953,309,1.6197443431605882,0,3,123.8969999976689,190.58679999943706,60,40,10
Sulit,3,Brute Force,0,nan,92.79880000030971,12721,nan,0,3,92.33509999830858,111.38120000032359,60,40,10
Sulit,3,UCS,1,80.35533905932738,429.582599997957,1787,1.5161384728174976,0,3,390.7910999987507,457.8889000003983,60,40,10
Sulit,3,GBFS,1,84.698484809835,43.875899998965906,147,1.5980846190534905,0,3,42.917999999190215,50.807999999960884,60,40,10
