scenario,seed,algorithm,success,cost,time_ms,expanded,detour_ratio,generation_attempt,timing_repeats,time_min_ms,time_max_ms,width,height,obstacle_count,cell_count
30x20,0,UCS,1,35.62741699796952,75.26240000152029,444,1.3444308301120573,0,3,55.559299999004,79.52750000004016,30,20,10,600
30x20,0,GBFS,1,37.384776310850235,4.500000000916771,42,1.4107462758811409,0,3,3.9753000000928296,6.91470000128902,30,20,10,600
30x20,0,A*,1,35.62741699796952,39.550000001327135,264,1.3444308301120573,0,3,39.48609999861219,40.902299999288516,30,20,10,600
45x30,0,UCS,1,52.76955262170048,156.21420000024955,1002,1.3275359150113328,0,3,151.68530000119063,182.26529999992636,45,30,10,1350
45x30,0,GBFS,1,55.698484809835,10.172500000408036,56,1.4012197436436478,0,3,9.92949999999837,10.86829999985639,45,30,10,1350
45x30,0,A*,1,52.76955262170048,97.06109999933688,575,1.3275359150113328,0,3,77.69439999901806,107.18730000007781,45,30,10,1350
60x40,0,UCS,1,68.84062043356595,284.33310000036727,1771,1.298879630821999,0,3,251.7502999999124,296.4538000014727,60,40,10,2400
60x40,0,GBFS,1,74.94112549695429,14.996199999586679,88,1.4139834999425336,0,3,11.161500000525848,15.521699999226257,60,40,10,2400
60x40,0,A*,1,68.84062043356595,158.99030000036873,986,1.298879630821999,0,3,153.29580000070564,182.3739999999816,60,40,10,2400
75x50,0,UCS,1,85.9827560572969,459.27409999967495,2752,1.2978529216195758,0,3,443.3057000005647,523.4392000002117,75,50,10,3750
75x50,0,GBFS,1,93.25483399593904,14.60380000025907,110,1.4076201357877591,0,3,12.771899999279412,15.240700000504148,75,50,10,3750
75x50,0,A*,1,85.9827560572969,241.64790000031644,1520,1.2978529216195758,0,3,220.31160000005912,247.41519999952288,75,50,10,3750
90x60,0,UCS,1,102.88225099390857,663.5910000004515,3948,1.2941163647032525,0,3,662.5686999996105,712.0395000001736,90,60,10,5400
90x60,0,GBFS,1,114.74011537017762,21.616599999106256,153,1.443271891448775,0,3,15.431000001626671,24.205300000176067,90,60,10,5400
90x60,0,A*,1,102.88225099390857,354.23850000006496,2200,1.2941163647032525,0,3,341.0582999986218,404.0026000002399,90,60,10,5400
120x80,0,UCS,1,137.095454429505,1147.6354999995237,7033,1.2933533436745754,0,3,1077.5856000000203,1281.6018000012264,120,80,10,9600
120x80,0,GBFS,1,154.46803743153546,26.721300000644987,210,1.4572456361465609,0,3,23.19080000052054,28.21620000031544,120,80,10,9600
120x80,0,A*,1,137.095454429505,627.8083000015613,3870,1.2933533436745754,0,3,627.3302000008698,677.3018999992928,120,80,10,9600
30x20,1,UCS,1,38.798989873223334,52.75450000044657,454,1.464112825404654,0,3,50.984800000151154,55.52689999967697,30,20,10,600
30x20,1,GBFS,1,39.384776310850235,8.714600000530481,80,1.4862179739943484,0,3,7.041200000458048,9.41430000057153,30,20,10,600
30x20,1,A*,1,38.798989873223334,35.36849999909464,314,1.464112825404654,0,3,31.694499999503023,36.837800000284915,30,20,10,600
45x30,1,UCS,1,57.941125496954285,158.3325000010518,1022,1.4576383772818688,0,3,147.73830000012822,167.62089999974705,45,30,10,1350
45x30,1,GBFS,1,59.112698372208094,17.860699999801,134,1.4871119087347948,0,3,16.235700000834186,17.864000001281966,45,30,10,1350
45x30,1,A*,1,57.941125496954285,110.76839999986987,713,1.4576383772818688,0,3,94.19640000123763,111.43660000016098,45,30,10,1350
60x40,1,UCS,1,70.25483399593904,272.84470000086003,1837,1.3255629055837554,0,3,244.91649999981746,293.5759000010876,60,40,10,2400
60x40,1,GBFS,1,74.94112549695429,16.381600000386243,106,1.4139834999425336,0,3,11.072700001022895,20.65270000093733,60,40,10,2400
60x40,1,A*,1,70.25483399593904,174.3160000005446,1136,1.3255629055837554,0,3,171.66189999989,198.82079999842972,60,40,10,2400
75x50,1,UCS,1,87.39696961967,465.3968000002351,2832,1.3191995414289812,0,3,404.3440000004921,467.0138000001316,75,50,10,3750
75x50,1,GBFS,1,93.25483399593904,16.569899999012705,149,1.4076201357877591,0,3,15.936399999191053,23.369000000457163,75,50,10,3750
75x50,1,A*,1,87.39696961967,261.7536999987351,1738,1.3191995414289812,0,3,259.6518999998807,346.42299999904935,75,50,10,3750
90x60,1,UCS,1,103.46803743153548,682.4025000005349,4061,1.301484747566484,0,3,633.9511000005587,722.9994000008446,90,60,10,5400
90x60,1,GBFS,1,111.66904755831214,25.390699998752098,192,1.404642107651725,0,3,23.968100000274717,26.954700000715093,90,60,10,5400
90x60,1,A*,1,103.46803743153548,440.56110000019544,2444,1.301484747566484,0,3,422.47909999969124,441.4964000006876,90,60,10,5400
120x80,1,UCS,1,137.92388155425118,1245.190300000104,7263,1.30116869390803,0,3,1196.4812000005622,1267.471099999966,120,80,10,9600
120x80,1,GBFS,1,151.0538238691624,47.145399999863,295,1.425036074237381,0,3,45.91629999958968,47.85540000011679,120,80,10,9600
120x80,1,A*,1,137.92388155425118,690.683299999364,4359,1.30116869390803,0,3,670.878900000389,712.7258999989863,120,80,10,9600
30x20,2,UCS,1,35.62741699796952,76.06529999975464,449,1.3444308301120573,0,3,71.90330000048561,77.41859999987355,30,20,10,600
30x20,2,GBFS,1,36.21320343559643,16.92180000100052,86,1.366535978701752,0,3,12.756000000081258,17.784100000426406,30,20,10,600
30x20,2,A*,1,35.62741699796952,51.58140000094136,287,1.3444308301120573,0,3,41.41330000129528,53.45820000002277,30,20,10,600
45x30,2,UCS,1,52.526911934581186,159.8883000006026,1021,1.3214317467819165,0,3,156.61220000038156,165.5931999994209,45,30,10,1350
45x30,2,GBFS,1,54.2842712474619,30.169699999532895,167,1.3656420439613057,0,3,24.95959999941988,31.50879999884637,45,30,10,1350
45x30,2,A*,1,52.526911934581186,103.10819999904197,624,1.3214317467819165,0,3,83.63129999997909,107.64749999907508,45,30,10,1350
60x40,2,UCS,1,69.42640687119285,295.62950000035926,1825,1.3099322051168463,0,3,288.72640000008687,309.2476000001625,60,40,10,2400
60x40,2,GBFS,1,72.94112549695429,41.30210000039369,278,1.3762476508859298,0,3,39.12139999920328,47.79849999977159,60,40,10,2400
60x40,2,A*,1,69.42640687119285,200.1101000005292,1128,1.3099322051168463,0,3,168.85890000048676,208.21190000060597,60,40,10,2400
75x50,2,UCS,1,85.74011537017762,462.98489999935555,2828,1.2941904206819264,0,3,450.559400000202,487.6964999984921,75,50,10,3750
75x50,2,GBFS,1,92.08326112068524,58.28699999983655,413,1.3899360169160035,0,3,53.101499999684165,62.315099999977974,75,50,10,3750
75x50,2,A*,1,85.74011537017762,275.4774000004545,1707,1.2941904206819264,0,3,265.6189999997878,283.5758999990503,75,50,10,3750
