scenario,seed,algorithm,success,cost,time_ms,expanded
Mudah,0,Brute Force,1,53.54685880776307,87.25779998349026,12721
Mudah,0,UCS,1,55.48528137423857,203.2253000070341,2059
Mudah,0,GBFS,1,58.55634918610404,5.137600004673004,56
Mudah,0,A*,1,55.48528137423857,39.12210004637018,345
Mudah,0,RRT*,1,57.75650595493708,138.82729999022558,617
Mudah,1,Brute Force,1,53.32463859657536,143.43320002080873,12721
Mudah,1,UCS,1,55.48528137423857,259.4551000511274,2069
Mudah,1,GBFS,1,55.48528137423857,7.41389999166131,55
Mudah,1,A*,1,55.48528137423857,49.19490002794191,351
Mudah,1,RRT*,1,55.93807051631117,234.96889998205006,615
Mudah,2,Brute Force,1,53.11601534254613,117.2503000125289,12721
Mudah,2,UCS,1,53.82842712474619,248.0690000229515,2009
Mudah,2,GBFS,1,53.82842712474619,6.579000037163496,54
Mudah,2,A*,1,53.82842712474619,11.407900019548833,92
Mudah,2,RRT*,1,55.64784088629276,207.43740000762045,616
Mudah,3,Brute Force,1,53.18766615682537,158.31780002918094,12721
Mudah,3,UCS,1,54.65685424949238,234.87489996477962,2046
Mudah,3,GBFS,1,54.65685424949238,10.883499984629452,54
Mudah,3,A*,1,54.65685424949238,39.261800004169345,281
Mudah,3,RRT*,1,59.74594105814587,225.8682000101544,622
Mudah,4,Brute Force,1,53.52392018080073,87.84769999329001,12721
Mudah,4,UCS,1,54.65685424949238,255.33569999970496,2022
Mudah,4,GBFS,1,54.65685424949238,6.783799966797233,54
Mudah,4,A*,1,54.65685424949238,18.12419999623671,162
Mudah,4,RRT*,1,57.17910128266447,182.27319995639846,615
Sedang,0,Brute Force,1,53.06860366396105,135.84679999621585,12721
Sedang,0,UCS,1,53.82842712474619,382.02339998679236,1820
Sedang,0,GBFS,1,53.82842712474619,10.496100003365427,54
Sedang,0,A*,1,53.82842712474619,25.19139996729791,132
Sedang,0,RRT*,1,55.00540764792015,249.55690000206232,595
Sedang,1,Brute Force,1,53.27373982324623,163.39140001218766,12721
Sedang,1,UCS,1,54.65685424949238,403.3868999686092,1811
Sedang,1,GBFS,1,54.65685424949238,11.011700029484928,54
Sedang,1,A*,1,54.65685424949238,57.43679997976869,287
Sedang,1,RRT*,1,55.52248044608245,287.5441000214778,561
Sedang,2,Brute Force,0,,104.42399996099994,12721
Sedang,2,UCS,1,56.31370849898476,535.8042000443675,1888
Sedang,2,GBFS,1,61.04163056034262,10.692899988498539,58
Sedang,2,A*,1,56.31370849898476,105.03530001733452,469
Sedang,2,RRT*,1,60.40905889407791,261.17599999997765,566
Sedang,3,Brute Force,1,53.0,157.73080004146323,12721
Sedang,3,UCS,1,53.0,388.17750004818663,1795
Sedang,3,GBFS,1,53.0,12.733899988234043,54
